Fila,n,C(n)
FLEV2,49,3
FLEV3,49,4
FLEV4,49,8
FLC,50,1
FLEV1,50,3
FLEV2,50,3
FLEV3,50,4
FLEV4,50,8
FLC,51,1
FLEV1,51,3
FLEV2,51,3
FLEV3,51,4
FLEV4,51,8
FLC,52,1
FLEV1,52,3
FLEV2,52,3
FLEV3,52,4
FLEV4,52,8
FLC,53,1
FLEV1,53,3
FLEV2,53,3
FLEV3,53,4
FLEV4,53,8
FLC,54,1
FLEV1,54,3
FLEV2,54,3
FLEV3,54,4
FLEV4,54,8
FLC,55,1
FLEV1,55,3
FLEV2,55,3
FLEV3,55,4
FLEV4,55,8
FLC,56,1
FLEV1,56,3
FLEV2,56,3
FLEV3,56,4
FLEV4,56,8
FLC,57,1
FLEV1,57,3
FLEV2,57,3
FLEV3,57,4
FLEV4,57,8
FLC,58,1
FLEV1,58,3
FLEV2,58,3
FLEV3,58,4
FLEV4,58,8
FLC,59,1
FLEV1,59,3
FLEV2,59,3
FLEV3,59,4
FLEV4,59,8
FLC,60,1
FLEV1,60,3
FLEV2,60,3
FLEV3,60,4
FLEV4,60,8
FLC,61,1
FLEV1,61,3
FLEV2,61,3
FLEV3,61,4
FLEV4,61,8
FLC,62,1
FLEV1,62,3
FLEV2,62,3
FLEV3,62,4
FLEV4,62,8
FLC,63,1
FLEV1,63,3
FLEV2,63,3
FLEV3,63,4
FLEV4,63,8
FLC,64,1
FLEV1,64,3
FLEV2,64,3
FLEV3,64,4
FLEV4,64,8
FLC,65,1
FLEV1,65,3
FLEV2,65,3
FLEV3,65,4
FLEV4,65,8
FLC,66,1
FLEV1,66,3
FLEV2,66,3
FLEV3,66,4
FLEV4,66,8
FLC,67,1
FLEV1,67,3
FLEV2,67,3
FLEV3,67,4
FLEV4,67,8
FLC,68,1
FLEV1,68,3
FLEV2,68,3
FLEV3,68,4
FLEV4,68,8
FLC,69,1
FLEV1,69,3
FLEV2,69,3
FLEV3,69,4
FLEV4,69,8
FLC,70,1
FLEV1,70,3
FLEV2,70,3
FLEV3,70,4
FLEV4,70,8
FLC,71,1
FLEV1,71,3
FLEV2,71,3
FLEV3,71,4
FLEV4,71,8
FLC,72,1
FLEV1,72,3
FLEV2,72,3
FLEV3,72,4
FLEV4,72,8
FLC,73,1
FLEV1,73,3
FLEV2,73,3
FLEV3,73,4
FLEV4,73,8
FLC,74,1
FLEV1,74,3
FLEV2,74,3
FLEV3,74,4
FLEV4,74,8
FLC,75,1
FLEV1,75,3
FLEV2,75,3
FLEV3,75,4
FLEV4,75,8
FLC,76,1
FLEV1,76,3
FLEV2,76,3
FLEV3,76,4
FLEV4,76,8
FLC,77,1
FLEV1,77,3
FLEV2,77,3
FLEV3,77,4
FLEV4,77,8
FLC,78,1
FLEV1,78,3
FLEV2,78,3
FLEV3,78,4
FLEV4,78,8
FLC,79,1
FLEV1,79,3
FLEV2,79,3
FLEV3,79,4
FLEV4,79,8
FLC,80,1
FLEV1,80,3
FLEV2,80,3
FLEV3,80,4
FLEV4,80,8
FLC,81,1
FLEV1,81,3
FLEV2,81,3
FLEV3,81,4
FLEV4,81,8
FLC,82,1
FLEV1,82,3
FLEV2,82,3
FLEV3,82,4
FLEV4,82,8
FLC,83,1
FLEV1,83,3
FLEV2,83,3
FLEV3,83,4
FLEV4,83,8
FLC,84,1
FLEV1,84,3
FLEV2,84,3
FLEV3,84,4
FLEV4,84,8
FLC,85,1
FLEV1,85,3
FLEV2,85,3
FLEV3,85,4
FLEV4,85,8
FLC,86,1
FLEV1,86,3
FLEV2,86,3
FLEV3,86,4
FLEV4,86,8
FLC,87,1
FLEV1,87,3
FLEV2,87,3
FLEV3,87,4
FLEV4,87,8
FLC,88,1
FLEV1,88,3
FLEV2,88,3
FLEV3,88,4
FLEV4,88,8
FLC,89,1
FLEV1,89,3
FLEV2,89,3
FLEV3,89,4
FLEV4,89,8
FLC,90,1
FLEV1,90,3
FLEV2,90,3
FLEV3,90,4
FLEV4,90,8
FLC,91,1
FLEV1,91,3
FLEV2,91,3
FLEV3,91,4
FLEV4,91,8
FLC,92,1
FLEV1,92,3
FLEV2,92,3
FLEV3,92,4
FLEV4,92,8
FLC,93,1
FLEV1,93,3
FLEV2,93,3
FLEV3,93,4
FLEV4,93,8
FLC,94,1
FLEV1,94,3
FLEV2,94,3
FLEV3,94,4
FLEV4,94,8
FLC,95,1
FLEV1,95,3
FLEV2,95,3
FLEV3,95,4
FLEV4,95,8
FLC,96,1
FLEV1,96,3
FLEV2,96,3
FLEV3,96,4
FLEV4,96,8
FLC,97,1
FLEV1,97,3
FLEV2,97,3
FLEV3,97,4
FLEV4,97,8
FLC,98,1
FLEV1,98,3
FLEV2,98,3
FLEV3,98,4
FLEV4,98,8
FLC,99,1
FLEV1,99,3
FLEV2,99,3
FLEV3,99,4
FLEV4,99,8
FLC,100,1
FLEV1,100,3
FLEV2,100,3
FLEV3,100,4
FLEV4,100,8
FLC,101,1
FLEV1,101,3
FLEV2,101,3
FLEV3,101,4
FLEV4,101,8
FLC,102,1
FLEV1,102,3
FLEV2,102,3
FLEV3,102,4
FLEV4,102,8
FLC,103,1
FLEV1,103,3
FLEV2,103,3
FLEV3,103,4
FLEV4,103,8
FLC,104,1
FLEV1,104,3
FLEV2,104,3
FLEV3,104,4
FLEV4,104,8
FLC,105,1
FLEV1,105,3
FLEV2,105,3
FLEV3,105,4
FLEV4,105,8
FLC,106,1
FLEV1,106,3
FLEV2,106,3
FLEV3,106,4
FLEV4,106,8
FLC,107,1
FLEV1,107,3
FLEV2,107,3
FLEV3,107,4
FLEV4,107,8
FLC,108,1
FLEV1,108,3
FLEV2,108,3
FLEV3,108,4
FLEV4,108,8
FLC,109,1
FLEV1,109,3
FLEV2,109,3
FLEV3,109,4
FLEV4,109,8
FLC,110,1
FLEV1,110,3
FLEV2,110,3
FLEV3,110,4
FLEV4,110,8
FLC,111,1
FLEV1,111,3
FLEV2,111,3
FLEV3,111,4
FLEV4,111,8
FLC,112,1
FLEV1,112,3
FLEV2,112,3
FLEV3,112,4
FLEV4,112,8
FLC,113,1
FLEV1,113,3
FLEV2,113,3
FLEV3,113,4
FLEV4,113,8
FLC,114,1
FLEV1,114,3
FLEV2,114,3
FLEV3,114,4
FLEV4,114,8
FLC,115,1
FLEV1,115,3
FLEV2,115,3
FLEV3,115,4
FLEV4,115,8
FLC,116,1
FLEV1,116,3
FLEV2,116,3
FLEV3,116,4
FLEV4,116,8
FLC,117,1
FLEV1,117,3
FLEV2,117,3
FLEV3,117,4
FLEV4,117,8
FLC,118,1
FLEV1,118,3
FLEV2,118,3
FLEV3,118,4
FLEV4,118,8
FLC,119,1
FLEV1,119,3
FLEV2,119,3
FLEV3,119,4
FLEV4,119,8
FLC,120,1
FLEV1,120,3
FLEV2,120,3
FLEV3,120,4
FLEV4,120,8
FLC,121,1
FLEV1,121,3
FLEV2,121,3
FLEV3,121,4
FLEV4,121,8
FLC,122,1
FLEV1,122,3
FLEV2,122,3
FLEV3,122,4
FLEV4,122,8
FLC,123,1
FLEV1,123,3
FLEV2,123,3
FLEV3,123,4
FLEV4,123,8
FLC,124,1
FLEV1,124,3
FLEV2,124,3
FLEV3,124,4
FLEV4,124,8
FLC,125,1
FLEV1,125,3
FLEV2,125,3
FLEV3,125,4
FLEV4,125,8
FLC,126,1
FLEV1,126,3
FLEV2,126,3
FLEV3,126,4
FLEV4,126,8
FLC,127,1
FLEV1,127,3
FLEV2,127,3
FLEV3,127,4
FLEV4,127,8
FLC,128,1
FLEV1,128,3
FLEV2,128,3
FLEV3,128,4
FLEV4,128,8
FLC,129,1
FLEV1,129,3
FLEV2,129,3
FLEV3,129,4
FLEV4,129,8
FLC,130,1
FLEV1,130,3
FLEV2,130,3
FLEV3,130,4
FLEV4,130,8
FLC,131,1
FLEV1,131,3
FLEV2,131,3
FLEV3,131,4
FLEV4,131,8
FLC,132,1
FLEV1,132,3
FLEV2,132,3
FLEV3,132,4
FLEV4,132,8
FLC,133,1
FLEV1,133,3
FLEV2,133,3
FLEV3,133,4
FLEV4,133,8
FLC,134,1
FLEV1,134,3
FLEV2,134,3
FLEV3,134,4
FLEV4,134,8
FLC,135,1
FLEV1,135,3
FLEV2,135,3
FLEV3,135,4
FLEV4,135,8
FLC,136,1
FLEV1,136,3
FLEV2,136,3
FLEV3,136,4
FLEV4,136,8
FLC,137,1
FLEV1,137,3
FLEV2,137,3
FLEV3,137,4
FLEV4,137,8
FLC,138,1
FLEV1,138,3
FLEV2,138,3
FLEV3,138,4
FLEV4,138,8
FLC,139,1
FLEV1,139,3
FLEV2,139,3
FLEV3,139,4
FLEV4,139,8
FLC,140,1
FLEV1,140,3
FLEV2,140,3
FLEV3,140,4
FLEV4,140,8
FLC,141,1
FLEV1,141,3
FLEV2,141,3
FLEV3,141,4
FLEV4,141,8
FLC,142,1
FLEV1,142,3
FLEV2,142,3
FLEV3,142,4
FLEV4,142,8
FLC,143,1
FLEV1,143,3
FLEV2,143,3
FLEV3,143,4
FLEV4,143,8
FLC,144,1
FLEV1,144,3
FLEV2,144,3
FLEV3,144,4
FLEV4,144,8
FLC,145,1
FLEV1,145,3
FLEV2,145,3
FLEV3,145,4
FLEV4,145,8
FLC,146,1
FLEV1,146,3
FLEV2,146,3
FLEV3,146,4
FLEV4,146,8
FLC,147,1
FLEV1,147,3
FLEV2,147,3
FLEV3,147,4
FLEV4,147,8
FLC,148,1
FLEV1,148,3
FLEV2,148,3
FLEV3,148,4
FLEV4,148,8
FLC,149,1
FLEV1,149,3
FLEV2,149,3
FLEV3,149,4
FLEV4,149,8
FLC,150,1
FLEV1,150,3
FLEV2,150,3
FLEV3,150,4
FLEV4,150,8
FLC,151,1
FLEV1,151,3
FLEV2,151,3
FLEV3,151,4
FLEV4,151,8
FLC,152,1
FLEV1,152,3
FLEV2,152,3
FLEV3,152,4
FLEV4,152,8
FLC,153,1
FLEV1,153,3
FLEV2,153,3
FLEV3,153,4
FLEV4,153,8
FLC,154,1
FLEV1,154,3
FLEV2,154,3
FLEV3,154,4
FLEV4,154,8
FLC,155,1
FLEV1,155,3
FLEV2,155,3
FLEV3,155,4
FLEV4,155,8
FLC,156,1
FLEV1,156,3
FLEV2,156,3
FLEV3,156,4
FLEV4,156,8
FLC,157,1
FLEV1,157,3
FLEV2,157,3
FLEV3,157,4
FLEV4,157,8
FLC,158,1
FLEV1,158,3
FLEV2,158,3
FLEV3,158,4
FLEV4,158,8
FLC,159,1
FLEV1,159,3
FLEV2,159,3
FLEV3,159,4
FLEV4,159,8
FLC,160,1
FLEV1,160,3
FLEV2,160,3
FLEV3,160,4
FLEV4,160,8
FLC,161,1
FLEV1,161,3
FLEV2,161,3
FLEV3,161,4
FLEV4,161,8
FLC,162,1
FLEV1,162,3
FLEV2,162,3
FLEV3,162,4
FLEV4,162,8
FLC,163,1
FLEV1,163,3
FLEV2,163,3
FLEV3,163,4
FLEV4,163,8
FLC,164,1
FLEV1,164,3
FLEV2,164,3
FLEV3,164,4
FLEV4,164,8
FLC,165,1
FLEV1,165,3
FLEV2,165,3
FLEV3,165,4
FLEV4,165,8
FLC,166,1
FLEV1,166,3
FLEV2,166,3
FLEV3,166,4
FLEV4,166,8
FLC,167,1
FLEV1,167,3
FLEV2,167,3
FLEV3,167,4
FLEV4,167,8
FLC,168,1
FLEV1,168,3
FLEV2,168,3
FLEV3,168,4
FLEV4,168,8
FLC,169,1
FLEV1,169,3
FLEV2,169,3
FLEV3,169,4
FLEV4,169,8
FLC,170,1
FLEV1,170,3
FLEV2,170,3
FLEV3,170,4
FLEV4,170,8
FLC,171,1
FLEV1,171,3
FLEV2,171,3
FLEV3,171,4
FLEV4,171,8
FLC,172,1
FLEV1,172,3
FLEV2,172,3
FLEV3,172,4
FLEV4,172,8
FLC,173,1
FLEV1,173,3
FLEV2,173,3
FLEV3,173,4
FLEV4,173,8
FLC,174,1
FLEV1,174,3
FLEV2,174,3
FLEV3,174,4
FLEV4,174,8
FLC,175,1
FLEV1,175,3
FLEV2,175,3
FLEV3,175,4
FLEV4,175,8
FLC,176,1
FLEV1,176,3
FLEV2,176,3
FLEV3,176,4
FLEV4,176,8
FLC,177,1
FLEV1,177,3
FLEV2,177,3
FLEV3,177,4
FLEV4,177,8
FLC,178,1
FLEV1,178,3
FLEV2,178,3
FLEV3,178,4
FLEV4,178,8
FLC,179,1
FLEV1,179,3
FLEV2,179,3
FLEV3,179,4
FLEV4,179,8
FLC,180,1
FLEV1,180,3
FLEV2,180,3
FLEV3,180,4
FLEV4,180,8
FLC,181,1
FLEV1,181,3
FLEV2,181,3
FLEV3,181,4
FLEV4,181,8
FLC,182,1
FLEV1,182,3
FLEV2,182,3
FLEV3,182,4
FLEV4,182,8
FLC,183,1
FLEV1,183,3
FLEV2,183,3
FLEV3,183,4
FLEV4,183,8
FLC,184,1
FLEV1,184,3
FLEV2,184,3
FLEV3,184,4
FLEV4,184,8
FLC,185,1
FLEV1,185,3
FLEV2,185,3
FLEV3,185,4
FLEV4,185,8
FLC,186,1
FLEV1,186,3
FLEV2,186,3
FLEV3,186,4
FLEV4,186,8
FLC,187,1
FLEV1,187,3
FLEV2,187,3
FLEV3,187,4
FLEV4,187,8
FLC,188,1
FLEV1,188,3
FLEV2,188,3
FLEV3,188,4
FLEV4,188,8
FLC,189,1
FLEV1,189,3
FLEV2,189,3
FLEV3,189,4
FLEV4,189,8
FLC,190,1
FLEV1,190,3
FLEV2,190,3
FLEV3,190,4
FLEV4,190,8
FLC,191,1
FLEV1,191,3
FLEV2,191,3
FLEV3,191,4
FLEV4,191,8
FLC,192,1
FLEV1,192,3
FLEV2,192,3
FLEV3,192,4
FLEV4,192,8
FLC,193,1
FLEV1,193,3
FLEV2,193,3
FLEV3,193,4
FLEV4,193,8
FLC,194,1
FLEV1,194,3
FLEV2,194,3
FLEV3,194,4
FLEV4,194,8
FLC,195,1
FLEV1,195,3
FLEV2,195,3
FLEV3,195,4
FLEV4,195,8
FLC,196,1
FLEV1,196,3
FLEV2,196,3
FLEV3,196,4
FLEV4,196,8
FLC,197,1
FLEV1,197,3
FLEV2,197,3
FLEV3,197,4
FLEV4,197,8
FLC,198,1
FLEV1,198,3
FLEV2,198,3
FLEV3,198,4
FLEV4,198,8
FLC,199,1
FLEV1,199,3
FLEV2,199,3
FLEV3,199,4
FLEV4,199,8
FLC,200,1
FLEV1,200,3
FLEV2,200,3
FLEV3,200,4
FLEV4,200,8
FLC,201,1
FLEV1,201,3
FLEV2,201,3
FLEV3,201,4
FLEV4,201,8
FLC,202,1
FLEV1,202,3
FLEV2,202,3
FLEV3,202,4
FLEV4,202,8
FLC,203,1
FLEV1,203,3
FLEV2,203,3
FLEV3,203,4
FLEV4,203,8
FLC,204,1
FLEV1,204,3
FLEV2,204,3
FLEV3,204,4
FLEV4,204,8
FLC,205,1
FLEV1,205,3
FLEV2,205,3
FLEV3,205,4
FLEV4,205,8
FLC,206,1
FLEV1,206,3
FLEV2,206,3
FLEV3,206,4
FLEV4,206,8
FLC,207,1
FLEV1,207,3
FLEV2,207,3
FLEV3,207,4
FLEV4,207,8
FLC,208,1
FLEV1,208,3
FLEV2,208,3
FLEV3,208,4
FLEV4,208,8
FLC,209,1
FLEV1,209,3
FLEV2,209,3
FLEV3,209,4
FLEV4,209,8
FLC,210,1
FLEV1,210,3
FLEV2,210,3
FLEV3,210,4
FLEV4,210,8
FLC,211,1
FLEV1,211,3
FLEV2,211,3
FLEV3,211,4
FLEV4,211,8
FLC,212,1
FLEV1,212,3
FLEV2,212,3
FLEV3,212,4
FLEV4,212,8
FLC,213,1
FLEV1,213,3
FLEV2,213,3
FLEV3,213,4
FLEV4,213,8
FLC,214,1
FLEV1,214,3
FLEV2,214,3
FLEV3,214,4
FLEV4,214,8
FLC,215,1
FLEV1,215,3
FLEV2,215,3
FLEV3,215,4
FLEV4,215,8
FLC,216,1
FLEV1,216,3
FLEV2,216,3
FLEV3,216,4
FLEV4,216,8
FLC,217,1
FLEV1,217,3
FLEV2,217,3
FLEV3,217,4
FLEV4,217,8
FLC,218,1
FLEV1,218,3
FLEV2,218,3
FLEV3,218,4
FLEV4,218,8
FLC,219,1
FLEV1,219,3
FLEV2,219,3
FLEV3,219,4
FLEV4,219,8
FLC,220,1
FLEV1,220,3
FLEV2,220,3
FLEV3,220,4
FLEV4,220,8
FLC,221,1
FLEV1,221,3
FLEV2,221,3
FLEV3,221,4
FLEV4,221,8
FLC,222,1
FLEV1,222,3
FLEV2,222,3
FLEV3,222,4
FLEV4,222,8
FLC,223,1
FLEV1,223,3
FLEV2,223,3
FLEV3,223,4
FLEV4,223,8
FLC,224,1
FLEV1,224,3
FLEV2,224,3
FLEV3,224,4
FLEV4,224,8
FLC,225,1
FLEV1,225,3
FLEV2,225,3
FLEV3,225,4
FLEV4,225,8
FLC,226,1
FLEV1,226,3
FLEV2,226,3
FLEV3,226,4
FLEV4,226,8
FLC,227,1
FLEV1,227,3
FLEV2,227,3
FLEV3,227,4
FLEV4,227,8
FLC,228,1
FLEV1,228,3
FLEV2,228,3
FLEV3,228,4
FLEV4,228,8
FLC,229,1
FLEV1,229,3
FLEV2,229,3
FLEV3,229,4
FLEV4,229,8
FLC,230,1
FLEV1,230,3
FLEV2,230,3
FLEV3,230,4
FLEV4,230,8
FLC,231,1
FLEV1,231,3
FLEV2,231,3
FLEV3,231,4
FLEV4,231,8
FLC,232,1
FLEV1,232,3
FLEV2,232,3
FLEV3,232,4
FLEV4,232,8
FLC,233,1
FLEV1,233,3
FLEV2,233,3
FLEV3,233,4
FLEV4,233,8
FLC,234,1
FLEV1,234,3
FLEV2,234,3
FLEV3,234,4
FLEV4,234,8
FLC,235,1
FLEV1,235,3
FLEV2,235,3
FLEV3,235,4
FLEV4,235,8
FLC,236,1
FLEV1,236,3
FLEV2,236,3
FLEV3,236,4
FLEV4,236,8
FLC,237,1
FLEV1,237,3
FLEV2,237,3
FLEV3,237,4
FLEV4,237,8
FLC,238,1
FLEV1,238,3
FLEV2,238,3
FLEV3,238,4
FLEV4,238,8
FLC,239,1
FLEV1,239,3
FLEV2,239,3
FLEV3,239,4
FLEV4,239,8
FLC,240,1
FLEV1,240,3
FLEV2,240,3
FLEV3,240,4
FLEV4,240,8
FLC,241,1
FLEV1,241,3
FLEV2,241,3
FLEV3,241,4
FLEV4,241,8
FLC,242,1
FLEV1,242,3
FLEV2,242,3
FLEV3,242,4
FLEV4,242,8
FLC,243,1
FLEV1,243,3
FLEV2,243,3
FLEV3,243,4
FLEV4,243,8
FLC,244,1
FLEV1,244,3
FLEV2,244,3
FLEV3,244,4
FLEV4,244,8
FLC,245,1
FLEV1,245,3
FLEV2,245,3
FLEV3,245,4
FLEV4,245,8
FLC,246,1
FLEV1,246,3
FLEV2,246,3
FLEV3,246,4
FLEV4,246,8
FLC,247,1
FLEV1,247,3
FLEV2,247,3
FLEV3,247,4
FLEV4,247,8
FLC,248,1
FLEV1,248,3
FLEV2,248,3
FLEV3,248,4
FLEV4,248,8
FLC,249,1
FLEV1,249,3
FLEV2,249,3
FLEV3,249,4
FLEV4,249,8
FLC,250,1
FLEV1,250,3
FLEV2,250,3
FLEV3,250,4
FLEV4,250,8
FLC,251,1
FLEV1,251,3
FLEV2,251,3
FLEV3,251,4
FLEV4,251,8
FLC,252,1
FLEV1,252,3
FLEV2,252,3
FLEV3,252,4
FLEV4,252,8
FLC,253,1
FLEV1,253,3
FLEV2,253,3
FLEV3,253,4
FLEV4,253,8
FLC,254,1
FLEV1,254,3
FLEV2,254,3
FLEV3,254,4
FLEV4,254,8
FLC,255,1
FLEV1,255,3
FLEV2,255,3
FLEV3,255,4
FLEV4,255,8
FLC,256,1
FLEV1,256,3
FLEV2,256,3
FLEV3,256,4
FLEV4,256,8
FLC,257,1
FLEV1,257,3
FLEV2,257,3
FLEV3,257,4
FLEV4,257,8
FLC,258,1
FLEV1,258,3
FLEV2,258,3
FLEV3,258,4
FLEV4,258,8
FLC,259,1
FLEV1,259,3
FLEV2,259,3
FLEV3,259,4
FLEV4,259,8
FLC,260,1
FLEV1,260,3
FLEV2,260,3
FLEV3,260,4
FLEV4,260,8
FLC,261,1
FLEV1,261,3
FLEV2,261,3
FLEV3,261,4
FLEV4,261,8
FLC,262,1
FLEV1,262,3
FLEV2,262,3
FLEV3,262,4
FLEV4,262,8
FLC,263,1
FLEV1,263,3
FLEV2,263,3
FLEV3,263,4
FLEV4,263,8
FLC,264,1
FLEV1,264,3
FLEV2,264,3
FLEV3,264,4
FLEV4,264,8
FLC,265,1
FLEV1,265,3
FLEV2,265,3
FLEV3,265,4
FLEV4,265,8
FLC,266,1
FLEV1,266,3
FLEV2,266,3
FLEV3,266,4
FLEV4,266,8
FLC,267,1
FLEV1,267,3
FLEV2,267,3
FLEV3,267,4
FLEV4,267,8
FLC,268,1
FLEV1,268,3
FLEV2,268,3
FLEV3,268,4
FLEV4,268,8
FLC,269,1
FLEV1,269,3
FLEV2,269,3
FLEV3,269,4
FLEV4,269,8
FLC,270,1
FLEV1,270,3
FLEV2,270,3
FLEV3,270,4
FLEV4,270,8
FLC,271,1
FLEV1,271,3
FLEV2,271,3
FLEV3,271,4
FLEV4,271,8
FLC,272,1
FLEV1,272,3
FLEV2,272,3
FLEV3,272,4
FLEV4,272,8
FLC,273,1
FLEV1,273,3
FLEV2,273,3
FLEV3,273,4
FLEV4,273,8
FLC,274,1
FLEV1,274,3
FLEV2,274,3
FLEV3,274,4
FLEV4,274,8
FLC,275,1
FLEV1,275,3
FLEV2,275,3
FLEV3,275,4
FLEV4,275,8
FLC,276,1
FLEV1,276,3
FLEV2,276,3
FLEV3,276,4
FLEV4,276,8
FLC,277,1
FLEV1,277,3
FLEV2,277,3
FLEV3,277,4
FLEV4,277,8
FLC,278,1
FLEV1,278,3
FLEV2,278,3
FLEV3,278,4
FLEV4,278,8
FLC,279,1
FLEV1,279,3
FLEV2,279,3
FLEV3,279,4
FLEV4,279,8
FLC,280,1
FLEV1,280,3
FLEV2,280,3
FLEV3,280,4
FLEV4,280,8
FLC,281,1
FLEV1,281,3
FLEV2,281,3
FLEV3,281,4
FLEV4,281,8
FLC,282,1
FLEV1,282,3
FLEV2,282,3
FLEV3,282,4
FLEV4,282,8
FLC,283,1
FLEV1,283,3
FLEV2,283,3
FLEV3,283,4
FLEV4,283,8
FLC,284,1
FLEV1,284,3
FLEV2,284,3
FLEV3,284,4
FLEV4,284,8
FLC,285,1
FLEV1,285,3
FLEV2,285,3
FLEV3,285,4
FLEV4,285,8
FLC,286,1
FLEV1,286,3
FLEV2,286,3
FLEV3,286,4
FLEV4,286,8
FLC,287,1
FLEV1,287,3
FLEV2,287,3
FLEV3,287,4
FLEV4,287,8
FLC,288,1
FLEV1,288,3
FLEV2,288,3
FLEV3,288,4
FLEV4,288,8
FLC,289,1
FLEV1,289,3
FLEV2,289,3
FLEV3,289,4
FLEV4,289,8
FLC,290,1
FLEV1,290,3
FLEV2,290,3
FLEV3,290,4
FLEV4,290,8
FLC,291,1
